,카테고리,time,강수량,일조합(hr),일조율(%),평균기온(℃),최고기온(℃),계절
117,베트남음식,2024-05-23,0.0,12.7,88.2,20.2,26.4,봄
118,베트남음식,2024-06-17,0.0,13.1,88.5,24.8,30.2,여름
119,베트남음식,2024-06-22,16.5,0.0,0.0,24.2,26.1,여름
120,베트남음식,2024-06-24,0.0,7.0,47.3,24.3,27.9,여름
121,베트남음식,2024-04-16,2.3,3.7,28.0,13.3,17.9,봄
122,베트남음식,2024-04-30,0.0,5.5,40.1,18.6,22.5,봄
123,베트남음식,2024-04-10,0.0,3.9,30.0,13.8,18.5,봄
124,베트남음식,2024-06-13,0.0,13.3,90.5,26.4,32.8,여름
125,베트남음식,2024-04-09,0.0,11.9,92.2,15.3,20.8,봄
126,베트남음식,2024-04-14,0.0,11.7,89.3,20.8,29.4,봄
127,베트남음식,2024-06-11,0.0,10.2,69.4,25.4,31.6,여름
128,베트남음식,2024-05-27,0.0,9.9,68.3,18.5,22.6,봄
129,베트남음식,2024-04-17,0.0,10.3,77.4,15.0,21.8,봄
130,베트남음식,2024-04-25,0.0,6.2,45.6,14.4,20.8,봄
131,베트남음식,2024-04-24,9.0,1.9,14.1,13.2,16.5,봄
132,베트남음식,2024-04-16,2.3,3.7,28.0,13.3,17.9,봄
133,베트남음식,2024-04-09,0.0,11.9,92.2,15.3,20.8,봄
134,베트남음식,2024-06-13,0.0,13.3,90.5,26.4,32.8,여름
135,베트남음식,2024-04-13,0.0,12.1,92.4,19.1,27.3,봄
136,베트남음식,2024-05-10,0.0,12.5,88.7,17.9,23.8,봄
137,베트남음식,2024-04-09,0.0,11.9,92.2,15.3,20.8,봄
138,베트남음식,2024-05-29,0.0,13.2,91.0,21.2,26.8,봄
139,베트남음식,2024-06-08,16.9,2.5,17.0,20.3,25.0,여름
140,베트남음식,2024-04-13,0.0,12.1,92.4,19.1,27.3,봄
141,베트남음식,2024-05-08,0.0,11.0,78.6,14.7,21.4,봄
142,베트남음식,2024-06-08,16.9,2.5,17.0,20.3,25.0,여름
143,베트남음식,2024-07-06,2.8,0.1,0.7,25.1,30.0,여름
144,베트남음식,2024-05-29,0.0,13.2,91.0,21.2,26.8,봄
145,베트남음식,2024-03-28,1.9,0.0,0.0,10.3,12.2,봄
146,베트남음식,2024-06-14,0.0,9.1,61.5,26.3,33.0,여름
147,베트남음식,2024-06-23,5.1,3.8,25.7,25.1,30.1,여름
148,베트남음식,2024-03-09,0.0,10.9,93.2,2.0,7.1,봄
149,베트남음식,2024-03-19,0.2,2.7,22.3,6.7,9.8,봄
150,베트남음식,2024-06-26,0.0,12.3,83.1,24.9,31.6,여름
151,베트남음식,2024-03-12,2.1,0.0,0.0,6.6,10.0,봄
152,베트남음식,2024-04-10,0.0,3.9,30.0,13.8,18.5,봄
153,베트남음식,2024-03-16,0.0,8.3,69.2,10.9,18.3,봄
154,베트남음식,2024-06-08,16.9,2.5,17.0,20.3,25.0,여름
155,베트남음식,2024-04-12,0.0,9.8,74.8,17.2,24.2,봄
156,베트남음식,2024-05-11,31.7,0.1,0.7,17.0,22.0,봄
157,베트남음식,2024-05-19,0.0,12.6,88.1,21.5,27.9,봄
158,베트남음식,2024-03-08,0.0,10.4,88.9,2.1,6.5,봄
159,베트남음식,2024-05-17,0.0,10.8,75.5,18.3,24.9,봄
160,베트남음식,2024-03-31,0.0,10.1,80.2,10.6,17.7,봄
161,베트남음식,2024-05-14,0.0,13.0,91.5,18.8,24.7,봄
162,베트남음식,2024-03-10,0.0,10.9,93.2,4.2,10.6,봄
163,베트남음식,2024-03-09,0.0,10.9,93.2,2.0,7.1,봄
164,베트남음식,2024-03-09,0.0,10.9,93.2,2.0,7.1,봄
165,베트남음식,2024-04-13,0.0,12.1,92.4,19.1,27.3,봄
166,베트남음식,2024-04-27,0.0,12.5,91.9,18.2,26.2,봄
167,베트남음식,2024-05-03,0.0,12.8,92.8,19.7,27.9,봄
168,베트남음식,2024-05-21,0.0,9.4,65.3,21.7,28.3,봄
169,베트남음식,2024-06-22,16.5,0.0,0.0,24.2,26.1,여름
170,베트남음식,2024-04-12,0.0,9.8,74.8,17.2,24.2,봄
171,베트남음식,2024-03-20,0.0,9.0,74.4,4.4,8.7,봄
172,베트남음식,2024-06-12,0.0,11.3,76.9,24.8,31.8,여름
173,베트남음식,2024-06-20,0.0,12.1,81.8,29.4,35.4,여름
174,베트남음식,2024-06-13,0.0,13.3,90.5,26.4,32.8,여름
175,베트남음식,2024-02-16,0.0,7.9,73.1,2.3,8.1,겨울
176,베트남음식,2024-02-15,10.9,0.9,8.3,4.5,11.6,겨울
177,베트남음식,2024-04-12,0.0,9.8,74.8,17.2,24.2,봄
178,베트남음식,2024-03-05,0.0,0.1,0.9,8.0,11.0,봄
179,베트남음식,2024-05-11,31.7,0.1,0.7,17.0,22.0,봄
180,베트남음식,2024-06-26,0.0,12.3,83.1,24.9,31.6,여름
181,베트남음식,2024-04-20,4.8,0.0,0.0,14.9,17.2,봄
182,베트남음식,2024-05-09,0.0,12.8,91.4,16.1,21.8,봄
183,베트남음식,2024-05-27,0.0,9.9,68.3,18.5,22.6,봄
184,베트남음식,2024-02-12,0.0,9.7,90.7,3.5,10.5,겨울
185,베트남음식,2024-06-22,16.5,0.0,0.0,24.2,26.1,여름
186,베트남음식,2024-02-05,3.9,0.0,0.0,2.7,6.6,겨울
187,베트남음식,2024-03-13,0.0,10.9,91.6,6.5,12.0,봄
188,베트남음식,2024-01-29,0.0,9.2,90.2,-0.4,4.6,겨울
189,베트남음식,2024-02-15,10.9,0.9,8.3,4.5,11.6,겨울
190,베트남음식,2024-03-30,0.0,5.4,43.2,8.8,15.6,봄
191,베트남음식,2024-02-12,0.0,9.7,90.7,3.5,10.5,겨울
192,베트남음식,2024-06-15,6.1,3.4,23.0,24.2,28.2,여름
193,베트남음식,2024-04-15,17.1,0.0,0.0,16.0,20.0,봄
194,베트남음식,2024-04-21,0.0,1.0,7.5,17.2,21.7,봄
195,베트남음식,2024-02-17,0.0,8.7,79.8,4.4,11.7,겨울
196,베트남음식,2024-06-06,0.0,9.3,63.3,24.1,31.4,여름
197,베트남음식,2024-03-23,0.1,8.2,66.7,13.0,18.2,봄
198,베트남음식,2024-05-21,0.0,9.4,65.3,21.7,28.3,봄
199,베트남음식,2024-02-24,2.3,5.5,49.5,2.0,5.9,겨울
200,이탈리아음식,2024-05-08,0.0,11.0,78.6,14.7,21.4,봄
201,이탈리아음식,2024-05-15,20.6,3.1,21.8,12.6,18.8,봄
202,이탈리아음식,2024-05-16,0.1,13.1,92.3,13.7,19.8,봄
203,이탈리아음식,2024-06-12,0.0,11.3,76.9,24.8,31.8,여름
204,이탈리아음식,2024-05-13,0.0,13.1,92.9,18.3,24.5,봄
205,이탈리아음식,2024-06-26,0.0,12.3,83.1,24.9,31.6,여름
206,이탈리아음식,2024-05-22,0.0,10.0,69.4,20.5,25.5,봄
207,이탈리아음식,2024-04-11,0.0,4.0,30.8,15.5,21.1,봄
208,이탈리아음식,2024-04-18,0.0,11.7,88.0,17.3,24.9,봄
209,이탈리아음식,2024-02-18,17.1,1.1,10.1,6.2,9.4,겨울
210,이탈리아음식,2024-05-18,0.0,11.3,79.0,20.7,26.5,봄
211,이탈리아음식,2024-06-01,0.0,9.4,64.4,20.7,25.2,여름
212,이탈리아음식,2024-05-13,0.0,13.1,92.9,18.3,24.5,봄
213,이탈리아음식,2024-03-09,0.0,10.9,93.2,2.0,7.1,봄
214,이탈리아음식,2024-06-12,0.0,11.3,76.9,24.8,31.8,여름
215,이탈리아음식,2024-06-18,0.0,13.4,90.5,26.0,32.9,여름
216,이탈리아음식,2024-03-29,1.4,2.5,20.0,7.6,12.3,봄
217,이탈리아음식,2024-03-01,0.0,10.6,93.0,-4.1,0.3,봄
218,이탈리아음식,2024-03-01,0.0,10.6,93.0,-4.1,0.3,봄
219,이탈리아음식,2024-01-20,0.4,0.0,0.0,3.4,4.9,겨울
220,이탈리아음식,2024-05-29,0.0,13.2,91.0,21.2,26.8,봄
221,이탈리아음식,2024-02-18,17.1,1.1,10.1,6.2,9.4,겨울
222,이탈리아음식,2024-02-16,0.0,7.9,73.1,2.3,8.1,겨울
223,이탈리아음식,2024-05-01,0.0,9.8,71.0,18.5,24.0,봄
224,이탈리아음식,2024-02-03,0.0,1.0,9.6,4.7,8.3,겨울
225,이탈리아음식,2024-02-24,2.3,5.5,49.5,2.0,5.9,겨울
226,이탈리아음식,2024-05-28,0.0,11.1,76.6,20.4,26.1,봄
227,이탈리아음식,2024-03-15,0.0,10.6,89.1,8.9,14.5,봄
228,이탈리아음식,2024-03-09,0.0,10.9,93.2,2.0,7.1,봄
229,이탈리아음식,2024-02-09,0.0,6.9,65.1,1.1,6.1,겨울
230,이탈리아음식,2023-12-29,0.0,1.8,18.8,1.3,4.6,겨울
231,이탈리아음식,2023-12-28,0.0,8.1,84.4,1.2,4.4,겨울
232,이탈리아음식,2024-01-31,0.0,8.9,86.4,4.7,10.6,겨울
233,이탈리아음식,2024-05-14,0.0,13.0,91.5,18.8,24.7,봄
234,이탈리아음식,2024-04-23,0.0,6.0,44.4,17.3,24.2,봄
235,이탈리아음식,2024-01-19,0.0,7.1,71.7,5.4,9.0,겨울
236,이탈리아음식,2024-03-08,0.0,10.4,88.9,2.1,6.5,봄
237,이탈리아음식,2024-06-20,0.0,12.1,81.8,29.4,35.4,여름
238,이탈리아음식,2024-02-24,2.3,5.5,49.5,2.0,5.9,겨울
239,이탈리아음식,2024-03-17,0.1,8.7,72.5,8.8,12.2,봄
240,이탈리아음식,2024-03-08,0.0,10.4,88.9,2.1,6.5,봄
241,이탈리아음식,2024-03-09,0.0,10.9,93.2,2.0,7.1,봄
242,이탈리아음식,2024-06-24,0.0,7.0,47.3,24.3,27.9,여름
243,이탈리아음식,2024-05-16,0.1,13.1,92.3,13.7,19.8,봄
244,이탈리아음식,2024-02-14,0.0,4.0,37.0,12.9,18.3,겨울
245,이탈리아음식,2024-05-04,0.0,12.5,89.9,21.4,28.5,봄
246,이탈리아음식,2024-06-21,0.0,10.3,69.6,28.1,33.9,여름
247,이탈리아음식,2024-02-18,17.1,1.1,10.1,6.2,9.4,겨울
248,이탈리아음식,2023-12-08,0.0,5.3,54.6,11.2,16.8,겨울
249,이탈리아음식,2024-03-09,0.0,10.9,93.2,2.0,7.1,봄
250,이탈리아음식,2024-04-09,0.0,11.9,92.2,15.3,20.8,봄
251,이탈리아음식,2024-02-14,0.0,4.0,37.0,12.9,18.3,겨울
252,이탈리아음식,2024-02-05,3.9,0.0,0.0,2.7,6.6,겨울
253,이탈리아음식,2024-03-09,0.0,10.9,93.2,2.0,7.1,봄
254,이탈리아음식,2024-03-10,0.0,10.9,93.2,4.2,10.6,봄
255,이탈리아음식,2024-01-14,3.1,0.7,7.1,-0.6,2.4,겨울
256,이탈리아음식,2024-02-26,0.0,6.8,60.7,3.8,9.7,겨울
257,이탈리아음식,2024-01-28,0.0,8.0,78.4,-1.5,3.8,겨울
258,이탈리아음식,2024-05-23,0.0,12.7,88.2,20.2,26.4,봄
259,이탈리아음식,2024-02-09,0.0,6.9,65.1,1.1,6.1,겨울
260,이탈리아음식,2024-04-25,0.0,6.2,45.6,14.4,20.8,봄
261,이탈리아음식,2024-02-02,0.0,4.4,42.7,3.1,7.9,겨울
262,이탈리아음식,2024-05-23,0.0,12.7,88.2,20.2,26.4,봄
263,이탈리아음식,2024-02-16,0.0,7.9,73.1,2.3,8.1,겨울
264,이탈리아음식,2024-04-19,0.0,10.4,78.2,17.6,24.3,봄
265,이탈리아음식,2024-03-10,0.0,10.9,93.2,4.2,10.6,봄
266,이탈리아음식,2023-12-05,0.0,6.8,70.1,6.8,12.6,겨울
267,이탈리아음식,2024-02-25,1.8,0.9,8.0,2.8,5.9,겨울
268,이탈리아음식,2024-02-24,2.3,5.5,49.5,2.0,5.9,겨울
269,이탈리아음식,2024-03-02,0.0,5.8,50.9,-0.5,4.1,봄
270,이탈리아음식,2024-02-03,0.0,1.0,9.6,4.7,8.3,겨울
271,이탈리아음식,2024-02-19,8.9,0.0,0.0,9.1,11.9,겨울
272,이탈리아음식,2024-02-17,0.0,8.7,79.8,4.4,11.7,겨울
273,이탈리아음식,2024-02-18,17.1,1.1,10.1,6.2,9.4,겨울
274,이탈리아음식,2024-05-27,0.0,9.9,68.3,18.5,22.6,봄
275,이탈리아음식,2023-12-16,1.5,4.6,47.9,-4.1,3.8,겨울
276,이탈리아음식,2024-02-24,2.3,5.5,49.5,2.0,5.9,겨울
277,이탈리아음식,2024-02-21,17.8,0.0,0.0,1.9,4.0,겨울
278,이탈리아음식,2024-02-07,0.0,0.0,0.0,0.6,2.7,겨울
279,이탈리아음식,2024-03-04,0.0,9.5,82.6,5.4,11.7,봄
280,이탈리아음식,2024-02-22,8.8,0.0,0.0,0.2,1.6,겨울
281,이탈리아음식,2024-01-25,0.0,9.4,93.1,-5.3,-0.5,겨울
282,이탈리아음식,2024-03-02,0.0,5.8,50.9,-0.5,4.1,봄
283,이탈리아음식,2024-01-24,0.0,9.3,92.1,-8.0,-3.7,겨울
284,이탈리아음식,2023-12-27,0.0,8.2,85.4,1.5,6.8,겨울
285,이탈리아음식,2024-01-12,0.0,8.9,90.8,0.9,4.2,겨울
286,이탈리아음식,2024-02-18,17.1,1.1,10.1,6.2,9.4,겨울
287,이탈리아음식,2024-04-21,0.0,1.0,7.5,17.2,21.7,봄
288,이탈리아음식,2024-02-19,8.9,0.0,0.0,9.1,11.9,겨울
289,이탈리아음식,2024-02-18,17.1,1.1,10.1,6.2,9.4,겨울
290,이탈리아음식,2024-02-29,0.0,1.2,10.6,4.8,9.6,겨울
291,이탈리아음식,2024-05-17,0.0,10.8,75.5,18.3,24.9,봄
292,이탈리아음식,2024-03-09,0.0,10.9,93.2,2.0,7.1,봄
293,이탈리아음식,2023-10-23,0.0,6.5,59.1,15.2,21.4,가을
294,이탈리아음식,2024-06-19,0.0,13.0,87.8,28.8,35.8,여름
295,이탈리아음식,2024-03-26,11.5,2.3,18.5,7.4,12.4,봄
296,이탈리아음식,2024-02-04,0.0,4.6,44.2,7.3,12.2,겨울
297,이탈리아음식,2024-03-07,2.1,2.5,21.6,3.9,8.2,봄
298,이탈리아음식,2024-03-02,0.0,5.8,50.9,-0.5,4.1,봄
299,이탈리아음식,2023-10-02,0.0,10.3,87.3,18.2,24.6,가을
300,닭갈비,2024-07-04,3.6,3.4,23.1,26.8,30.6,여름
301,닭갈비,2024-07-03,0.8,0.6,4.1,24.7,25.9,여름
302,닭갈비,2024-07-03,0.8,0.6,4.1,24.7,25.9,여름
303,닭갈비,2024-06-15,6.1,3.4,23.0,24.2,28.2,여름
304,닭갈비,2024-05-06,12.3,0.0,0.0,13.9,15.7,봄
305,닭갈비,2024-05-23,0.0,12.7,88.2,20.2,26.4,봄
306,닭갈비,2024-05-30,0.0,0.6,4.1,20.7,24.6,봄
307,닭갈비,2024-07-06,2.8,0.1,0.7,25.1,30.0,여름
308,닭갈비,2024-06-21,0.0,10.3,69.6,28.1,33.9,여름
309,닭갈비,2024-06-19,0.0,13.0,87.8,28.8,35.8,여름
310,닭갈비,2024-06-26,0.0,12.3,83.1,24.9,31.6,여름
311,닭갈비,2024-05-22,0.0,10.0,69.4,20.5,25.5,봄
312,닭갈비,2024-06-19,0.0,13.0,87.8,28.8,35.8,여름
313,닭갈비,2024-06-28,0.0,13.2,89.2,26.6,32.5,여름
314,닭갈비,2024-05-19,0.0,12.6,88.1,21.5,27.9,봄
315,닭갈비,2024-07-06,2.8,0.1,0.7,25.1,30.0,여름
316,닭갈비,2024-07-03,0.8,0.6,4.1,24.7,25.9,여름
317,닭갈비,2024-06-14,0.0,9.1,61.5,26.3,33.0,여름
318,닭갈비,2024-05-17,0.0,10.8,75.5,18.3,24.9,봄
319,닭갈비,2024-07-02,65.1,0.0,0.0,23.2,25.2,여름
320,닭갈비,2024-06-28,0.0,13.2,89.2,26.6,32.5,여름
321,닭갈비,2024-04-13,0.0,12.1,92.4,19.1,27.3,봄
322,닭갈비,2024-05-29,0.0,13.2,91.0,21.2,26.8,봄
323,닭갈비,2024-07-03,0.8,0.6,4.1,24.7,25.9,여름
324,닭갈비,2024-06-22,16.5,0.0,0.0,24.2,26.1,여름
325,닭갈비,2024-07-05,4.1,1.4,9.5,23.4,26.1,여름
326,닭갈비,2024-06-20,0.0,12.1,81.8,29.4,35.4,여름
327,닭갈비,2024-06-11,0.0,10.2,69.4,25.4,31.6,여름
328,닭갈비,2024-06-14,0.0,9.1,61.5,26.3,33.0,여름
329,닭갈비,2024-05-15,20.6,3.1,21.8,12.6,18.8,봄
330,닭갈비,2024-06-06,0.0,9.3,63.3,24.1,31.4,여름
331,닭갈비,2024-07-03,0.8,0.6,4.1,24.7,25.9,여름
332,닭갈비,2024-05-23,0.0,12.7,88.2,20.2,26.4,봄
333,닭갈비,2024-07-07,28.7,0.6,4.1,24.4,28.2,여름
334,닭갈비,2024-06-13,0.0,13.3,90.5,26.4,32.8,여름
335,닭갈비,2024-07-01,0.0,8.3,56.5,26.3,31.3,여름
336,닭갈비,2024-06-15,6.1,3.4,23.0,24.2,28.2,여름
337,닭갈비,2024-05-25,0.0,2.3,15.9,21.4,24.7,봄
338,닭갈비,2024-07-03,0.8,0.6,4.1,24.7,25.9,여름
339,닭갈비,2024-06-12,0.0,11.3,76.9,24.8,31.8,여름
340,닭갈비,2024-05-30,0.0,0.6,4.1,20.7,24.6,봄
341,닭갈비,2024-06-18,0.0,13.4,90.5,26.0,32.9,여름
342,닭갈비,2024-06-08,16.9,2.5,17.0,20.3,25.0,여름
343,닭갈비,2024-07-03,0.8,0.6,4.1,24.7,25.9,여름
344,닭갈비,2024-06-30,32.2,0.0,0.0,23.5,24.9,여름
345,닭갈비,2024-06-29,38.3,6.9,46.9,26.7,32.3,여름
346,닭갈비,2024-07-06,2.8,0.1,0.7,25.1,30.0,여름
347,닭갈비,2024-06-29,38.3,6.9,46.9,26.7,32.3,여름
348,닭갈비,2024-06-25,0.0,10.7,72.3,22.9,27.2,여름
349,닭갈비,2024-06-05,0.0,10.4,70.7,23.6,30.1,여름
350,닭갈비,2024-07-07,28.7,0.6,4.1,24.4,28.2,여름
351,닭갈비,2024-06-04,0.0,13.5,92.5,22.8,29.3,여름
352,닭갈비,2024-06-28,0.0,13.2,89.2,26.6,32.5,여름
