가게 이름,댓글,작성 날짜
이탈리아음식,맛있어요!! 밥스타 기본맛 꽤 매워용 스테이크 포케보 울 고기 연하고 불맛나고 맛좋네용 ㅎㅎ 지나가다가 들렀는데 분위기 짱좋아여 !!! 데이트 하러 오기...,5.2.목
이탈리아음식,6/23(일) 오후 7시쯤 방문했습니다. 들어갈때 안경안 쓰고 머리 높이 묶으신 직원분이 ”웨이팅 있을수도있 는데“ 라고만 말하고 주방으로 사라지셨고 자...,6.23.일
이탈리아음식,"리모델링 후 처음왔는데 파스타역시 맛있고 스테이
크샐러드 존맛♥︎ 플레이팅도 예쁘고 양도 많아서 둘이
서 2인세트시켜서 먹고 남은 소스로 밥 순삭 ♥︎",6.8.토
이탈리아음식,"음식 양도 많고 맛있어요🤩
웨이팅이 있지만 매장 앞에 사진찍는 기계도 있도 회전율이 좋아서 생각보다? 일찍 들어올 수 있어용",7.5.금
이탈리아음식,파스타랑 스테이크 시켰는데 넘 맛있어여 단체로 같이 와두 좋을것 같아요,7.4.목
이탈리아음식,음식 빨리 나오고 맛있어요:),6.5.수
이탈리아음식,"의외로 혼밥하기 괜찮아요
맛은 항상 맛있습니다",7.4.목
이탈리아음식,친절한 직원분덕에 입장부터 기분 좋네요👍 메뉴의 가격이 합리적이고 맛있는 강남 파스타 맛집!! 시그니 처인 레드 크림파스타는 물론 맛있었고 스테이...,2.6.화
이탈리아음식,"맛있는 점심이었습니다~!
#바비레드#강남역맛집#BOBIRED",6.15.토
이탈리아음식,갈비 + 양식이라는 독특한 곳 인테리오는 이뿌고 좋 아요 스튜에 치즈 추가안하면 좀 아쉬운 치즈 양이어 서 추가해 먹어야해요 메뉴 이미지랑 실제 이...,3.27.수
이탈리아음식,파스타랑 샐러드 먹었눈데 너무 맛있고 분위기 좋아요 양도 많고 좋습니당!!!,6.18.화
이탈리아음식,"친구들이랑 왔어요
분위기 좋고 맛있어요~",6.16.일
이탈리아음식,오랜만에 방문했는데 여전히 맛있네요 ❤️ 좋은 분위기에서 맛있는 음식 먹고 갑니다 ~~,6.1.토
이탈리아음식,N번째 방문했는데 항상 맛있어요 강남 올때마다 생각나는 맛집😋 4인세트 시켰는데 네명이서 딱이에여 쵝오,6.8.토
이탈리아음식,"세트메뉴 먹었어요~
양도 많고 와인한잔까지 맛있었습니다~",6.12.수
이탈리아음식,"분위기도 좋고 맛있어요 
번창하세요",6.12.수
이탈리아음식,몇년째 재방문 중인 바비레드 오늘도 왔습니다! 지점 이 많이 없어서 아쉬워요ㅠㅠ 레드크림파스타 믿고 먹는 메뉴! 곱배기로 시키고 밥도 비벼 먹으면 ...,5.18.토
이탈리아음식,"믿고 먹는 바비레드
정말 맛있습니다 흑흑
파스타 최고!!",6.22.토
이탈리아음식,바비레드 레드크림파스타는 유명하져 ㅎㅎㅎ,5.17.금
이탈리아음식,"친구 생일이어서 예약하고 방문했어요! 직원분들도 
친절히 맞아주시고 생일인 친구도 넘 좋아했어요! 상
들리에는 언제 봐도 이뿌네용~! 또 올게용",4.25.목
이탈리아음식,"메인메뉴인 레드크림파스타 곱빼기로 먹었어요
매콤하니 굉장히 맛있구 양이 생각보다도 많아서 여자둘이 엄청 터지게 먹었답니다!",5.22.수
이탈리아음식,"오랜만에 왔더니 인테리어가 싹 바뀌었네요! 맛은 그
대로예요~ 역시 맛있고 좋습니다. 가격 대비 양이 많
진 않지만, 밥이 리필 되니 배가 크신 분들은 리...",6.17.월
이탈리아음식,왜 가게 이름이 바비레드인지 알게되었네요 ㅎㅎ 레 드크림파스타 + 밥 + 김 비벼먹으면 정말 맛있어요! 매장 넓고 자리많구 안에도 10명 단체석 있어...,2.16.금
이탈리아음식,"레드크림파스타 하나 먹으려고 멀리서 왔습니다ㅠㅠ
ㅠ 타 지역에 있을때도 생각났는데 너무 맛있네요 매
장도 넓고 좋습니다",4.18.목
이탈리아음식,맛있는음식감사합니다😁,6.15.토
이탈리아음식,"세트메뉴 에이드는 생각 없어서 단품으로 비슷하게 
시켰어요! 안내 너무 친절하구, 맵찔이가 덜매운맛 먹
었는데 이것도 신라면이랑 비슷하데요! 맛은 있...",5.9.목
이탈리아음식,바비레드 오랜만에 방문했어요! 스테이크 샐러드 고 기 부드럽고 양도 많고 맛있어요:) 따뜻할 때 드시면 더 맛있으니까 호다닥 드세요! 세트메뉴가 잘 ...,4.5.금
이탈리아음식,크림파스타 너무 맛있어요! 안에 갈비가 들어갔는데 크림이랑 매운맛이라 잘 어우러져서 맛있었습니다. 다먹구 밥이랑 비벼먹어도 너무 든든하고 맛났...,1.26.금
이탈리아음식,오랜만에 방문해도 역시나 실패없는 맛집 :) 레드 크림 파스타 제 최애✨✨ 최근에 리모델링을 했는지 매장 분위기도 너무 마음에 들었습니다🫶🏻✨,6.11.화
이탈리아음식,꼬기가 부드럽고 너무너무 마싯어요… 매운 단계를 고를 수 있어서 매운 거 잘 못 먹는데도 매콤하게 딱 좋습니다💕💕,6.27.목
이탈리아음식,"배부르게 잘먹었어요!!
고기질이 너무 좋아서 입에 넣자마자 녹아버릴정도였어요! 다음에 또 방문할게여",6.27.목
이탈리아음식,직원분들이 다 친절하시고 매장도 넓어용!,6.16.일
이탈리아음식,분위기도 좋고 맛도 너무 좋아요!!!,6.8.토
이탈리아음식,넘 맛있어용 담에 또 오려구요😍,6.12.수
이탈리아음식,레드크림파스타 + 탄산음료 곱배기 주문해서 먹었는 데 양 엄청 푸짐해요 밥도 같이 나와서 리조뜨로 먹기 도 좋아요! 매장 예쁘고 감각적이라 사진도 잘 ...,2.15.목
이탈리아음식,오랜만에 기분 내고 싶어서 유명한 바비레드에 왔어여!! 양도 많아서 배불리 잘 먹었습니다🥰,5.19.일
이탈리아음식,"밥까지 든든하게 먹을 수 있어 좋았고
갈비까지 맛있게 잘 먹었습니다 👍🏻✨️",5.12.일
이탈리아음식,맛있고 친절하고 매장도 넓어서 좋아요ㅠㅠ♥,4.27.토
이탈리아음식,"우왕~~ 갤러리같은 느낌의 가게에서 이렇게 맛있는 음식을 먹을수 있다니 너무 즐겁네요!!!!ㅎㅎㅎㅎ
남자친구랑 재방문 할 예정입니다😀",5.2.목
이탈리아음식,음식도 너무맛있고 매장도 넓어서 편하게 데이트하기 좋아요!!! 스튜가 독특하고 맛있어요☺️,6.16.일
이탈리아음식,넘 맛있는 바비레드!! 일요일 저녁엔 역시 사람이 꽤 있네요 파스타 기본 매운맛 약간 맵긴 하지만 맛있게 먹을 수 있는 맛이었어요!! 치킨 스테이크도 닭...,3.10.일
이탈리아음식,"""레드"" 컨셉에 맞게 맵기 선택이 가능한점이 좋습니다
ㅎㅎ (기본맛은 신라면정도!) 직원분들도 친절하시고
, 무엇보다 느끼하지 않고 깔끔합니다 !",4.28.일
이탈리아음식,바비레드 자주 오는데 연어샐러드는 처음 먹어봐요!! 근데 사진하곤 조금 다르지만 맛있었어요!! 파스타도 매콤하니 토마토맛 진하네요~,5.30.목
이탈리아음식,음식너무이쁘고 노래도 재즈음악나와서 분위기가 너무 좋아요 다음에는 남자친구랑 오고싶네요~~^^*,5.4.토
이탈리아음식,"레드크린파스타가 맛있어서 여러번 방문했어요 인테
리어가 밝게 바뀌어서 좋아요 추천합니당",6.11.화
이탈리아음식,직원분들도 엄청 친절하시고 분위기도 좋고 파스타랑 샐러드도 정말 맛있어요!!,6.17.월
이탈리아음식,"매장이 널찍해서 좋아요
모임하기 굳",5.13.월
이탈리아음식,"지인 추천으로 같이 한번 가보게 되었습니다. 최근에 리모델링 공사까지 완료했다고 하여, 방문해보았는데 , 분위기도 너무너무 좋고, 나중에 연말에 데이...",2.21.수
이탈리아음식,바비레드 오랜만에 왔는데 여전히 맛있네용 ㅎㅎ,4.21.일
이탈리아음식,맛있어요 밥이 리필도됩니당^^ 고기가많구요,5.20.월
이탈리아음식,"저희가 인원이 많아서 프라이빗 룸 예약하고 갔는데, 너무 아늑하고 좋았어요!! 저희가 다 먹짱이라 다 곱빼 기 시켰는데, 양은 이것저것 해서 시키셔야 충...",23.12.29.금.금
이탈리아음식,파스타를 시켰는데 리조또까지 해결할 수 있어요. 가게 샹들리에까지! 멋과 맛을 한큐에 해결!,5.7.화
이탈리아음식,"바비레드 인테리어 바뀌었네요!! 더 밝고 화사하고, 
음악까지 무드있어요😊 맛은 말해뭐해 밥과 파스타
를 쉑쉑 먹기 좋은 바비레드 추천요😃",3.7.목
이탈리아음식,"연인이나 친구랑 오기 좋음 
변함 없는 맛 최고👍",5.16.목
이탈리아음식,"너무 맛있어요
기분좋게 맵고 느끼하지 않고 잘 넘어가용",5.16.목
이탈리아음식,"음식이랑 종류도 다양하고 맛있어요!!
부모님과 같이 왔는데 맵기 조절도 할 수 있어서 좋았어요~",6.1.토
이탈리아음식,바비레드 다른지점은 가봤는데 강남점은 처음이에요. 맛이야 역시 맛있고 양도 많아요 !!! 메뉴는 크림파스 타랑 스튜에 치즈추가해서 먹었습니당 ㅎㅎ 다...,3.13.수
이탈리아음식,"음식이 너무 맛있어요

내부도 깔끔해서 좋네요",5.12.일
이탈리아음식,"정말 맛있었고 다시 갈 것 같아요 
대신 2단계는 좀 매웠던.... ㅋㅋ",5.23.목
이탈리아음식,역시 매콤한 파스타로는 바비레드가 제일 맛있는 것 같아요 !! 샐러드까지 완벽 조합이었어요,5.30.목
이탈리아음식,"아는 오빠 생일 기념으로 오빠의 파스타 맛집에 왔는 데, 퀄리티 대박이다🥹 매운맛도 선택가능하고 직원 분들도 너무 친절하니 기분 업 , 혀도 맛있음에 ...",1.9.화
이탈리아음식,"예약없고 대기없이 들어갈 수 있어서 좋았어요!! 주문
하기전 직원분이 맵기랑 리뷰이벤트 하나하나 설명해
주시는데 친절하고 음식주문하고서 빨리 나와...",4.27.토
이탈리아음식,너무 맛있어용 ㅎㅎㅎ!!!! 또오려구요~~!,6.21.금
이탈리아음식,친구들이랑 오기좋고 맛있어요!!!!,4.28.일
이탈리아음식,10년 전부터 종종 바비레드 레드크림파스타 먹으러 가는데 한결같이 맛있어요ㅎㅎ 강남본점 리뉴얼 오픈 되어서 방문했는데 모던하고 감각적인 인테리...,5.27.월
이탈리아음식,"음식도 맛있고 분위기도 정말 좋아요!!
그리고 룸도 있어서 모임하기 좋겠더라구요~
다음에 또 방문하고 싶은 맛집~~추천합니당",7.5.금
이탈리아음식,강남역 데이트장소로도 유명한 바비레드에서 인기많 은 레드크림파스타 곱빼기로 먹었어요!! ㅋㅋ 양도 많 고 너무 맛있는데 갈비까지 통으로 많이 들어있...,6.13.목
이탈리아음식,"인테리어 깔끔하고 맛과 가성비 좋은 곳 레드크림 파
스타 로제맛 나고 양도 많아요/맵기 조절가능 밥이 빨
간색~ 아하 그래서 밥이레드군요 ㅎㅎ 샐러드 ...",6.19.수
이탈리아음식,"레드크림파스타 (소갈비가 들어가있고, 레드크림 파 스타가 단계별로 선택 가능하고 너무 맛있었어요 조 합이 아주 훌륭해요 !! 레드크림 파스타 (곱빼...",5.3.금
이탈리아음식,리뉴얼 됐는지 인테리어가 더 깔끔해졌어요! 메뉴도 업그레이드…? 세트메뉴 먹었는데 가성비는 그다지 못 느꼈고… 샐러드는 맛있었어요! 파스타는 덜...,5.12.일
이탈리아음식,샐러드랑 파스타 너무 맛있어요!!! 분위기도 좋아서 왜 데이트하러 많이들 오시는지 알겠더라구요ㅎㅎ시그 니처메뉴인 파스타는 소스랑 면도 잘어울리지...,6.7.금
이탈리아음식,양도진짜많고 고기도 맛있고 파스타도 맛있어요 파 스타가 좀 퓨전느낌인데 매운맛 좋아하시는분들 강추 합니다 청첩장모임 하기에도 너무 이쁜곳 이벤...,5.17.금
이탈리아음식,친구 추천받고 왔는데 말듣고 오길 정말 잘했어요! 처 음에 생각하고 온 메뉴 두개도 마침 딱 세트로 묶여있 어서 확실이 이게 맛있는 메뉴구나! 했는데 플...,6.1.토
이탈리아음식,"친구랑 엄청 자주 오던 곳인데 인테리어가 밝게 바꼈
다 데이트 하는 분들이 오기 좋을듯 맵기조절도 돼서 
매운거 좋아하는 사람 무조건 와야됨 추천!",6.16.일
이탈리아음식,일단 무엇보다 어제 6/17 오후 방문했을때 홀서빙하 시던 남자직원분이랑 여자직원분이 친절하셔서 기분 좋았습니다:) 근래 들어서 갔던 식당들 중 직원...,6.17.월
이탈리아음식,레드갈비 파스타 시켰어요. 4단계 있고 신라면 맵기 시켰습니다. 신라면에 청양고추 조금 넣은 듯한 맵기 같아요. 맛은 깔끔하고 인테리어가 깔끔하고 ...,4.19.금
이탈리아음식,"멋지고 맛난곳
너무 좋았어요!!!",7.6.토
이탈리아음식,분위기도 맛도 좋았던 바비레드! 정말 밥이 빨갛더라 구요. 파스타를 주문하면 밥은 무제한! 파스타먹은 후 밥 비벼 먹으니 리조또같은 느낌으로 코스로 즐...,3.29.금
이탈리아음식,고기가 맛있네요 샐러드도 싱싱하고 파스타는 제일 순한맛으로 해도 저희에겐 매웠어요,6.14.금
이탈리아음식,"청모하기 좋아요
파스타랑 스튜 맛있어요 ^^",6.27.목
이탈리아음식,어렸을 때 정말 자주 가던 추억의 바비레드 오랜만에 왔는데 여전히 맛있네용 !! ㅎㅅㅎ 깔끔한 화이트 인테리어로 바뀌었군용,6.22.토
이탈리아음식,"너무 맛잇어요 일단 로제파스타는 딱 잘 익고 맛잇게 매운 로제 소스랑 바부려 먹어스 진짜 맛잇구요,,,,,, 스튜에 있는 고기가 무친몸입니디 고기 왜케 부...",7.7.일
이탈리아음식,"넘 맛있는 바비레드....
리뉴얼후 매장분위기도 넘이쁘고 사진도 잘나와요
모임하기딱좋아요✌🏻",6.4.화
이탈리아음식,강남오면 여기맘 와용! 존맛탱!,6.29.토
이탈리아음식,"파스타와 스테이크 가성비 맛집이에요 !! 이전에도 방 문한 적이 있는데, 리뉴얼된 매장에는 처음 방문했어 요 매장이 더 넓고 쾌적해져서 좋더라구요〰️ ...",4.6.토
이탈리아음식,인테리어가 이쁘고 음식이 다양하고 독특해서 한번쯤 와볼만해요 !!,7.5.금
이탈리아음식,느끼하면서 매운거 먹고 싶을때 딱이에요!!! 밥까지 비며먹으니까 넘 맛있어요,5.30.목
이탈리아음식,"너무 맛있습니다... 이 맛을 못 끊습니다... 밥을 비벼
먹습니다... 또 한번 반합니다.... 최고의 맛..최고의 파
스타.. 인테리어도 샹들리에 추가 설치로 더 예...",6.25.화
이탈리아음식,점심에 팀회식 왔는데 매장도 청결하고 메뉴도 깔끔 하게 나와서 좋아요. 파스타 안에 고기 양도 먹다보니 엄청 많았고 질기지 않고 부드러웠어요. 소스 ...,5.28.화
이탈리아음식,직원들이 친절하고 밥이 정말 맛있어요. 스테이크 샐러드 의 스테이크가 고소해요.!,6.23.일
이탈리아음식,"갈비가 들어간 파스타랑 스튜를 먹었는데 메뉴가 독
특하면서도 매콤한 소스랑 어우러지는게 신기했어요 
메뉴가 맛있고 양도 꽤 많아서 다먹고 나니 엄...",5.11.토
이탈리아음식,바비레드 레드 크림 파스타 최곱니다 ㅎㅎ 맵찔이라 기본(신라면 맵기정도) 했는데 적당한 매콤함이에요.ᐟ .ᐟ레드크림파스타 이거 곱배기로 하시면 둘이...,3.14.목
이탈리아음식,음식이 정갈하고 너무 맛있어요ㅠㅠ 갈비도 너무 부드럽고 같이 간 사람들 다들 맛있다고 난리였어요!! 계속 생각나는 맛이에요🔥 다음에 또 먹으려구요~!!,6.6.목
이탈리아음식,"음식이 바로나오고 정갈하고 직원도 친절해서 좋아요
그리고 매장도 넓어용👍",6.6.목
이탈리아음식,"우선 위치적으로는 강남역보단 신논현역 부근이고, 가는 길이 언덕이 좀 있어서 오르기가 힘들었어요. 인 테리어는 괜찮았고, 가게 앞에 전신거울이라든...",5.18.토
이탈리아음식,"음식이 너무 맛있어요
특히 파스타 소스에 밥 비벼 먹음 환상입니다 ^^",7.2.화
이탈리아음식,오랜만에 다시 방문한 바비레드인데 늘 먹던 메뉴로 주문했는데 역시 양도 많고 재료도 신선해서 맛있어 요 맵기도 고를 수 있어서 원하는 맵기로 선택...,5.17.금
이탈리아음식,항상 맛있게 먹는 바비레드!! 오랜만에 먹으러 왔는데 인테리어도 멋지게 바뀌었고 여전히 음식도 맛있어요 !! 진원분들도 친절해서 먹는동안 불편한 점이 ...,2.21.수
이탈리아음식,분위기도 좋고 음식도 맛있어요!!,6.30.일
이탈리아음식,강남역 맛집하면 바비레드 죠 ! 고기 두께가 진짜 두껍 고 파스타 맵기가 매콤해서 너무 맛있었어요 오늘 생 일이라서 방문 했는데 공주 느낌도 나고 대접 ...,3.11.월
이탈리아음식,맛있어요!! 밥스타 기본맛 꽤 매워용 스테이크 포케보 울 고기 연하고 불맛나고 맛좋네용 ㅎㅎ 지나가다가 들렀는데 분위기 짱좋아여 !!! 데이트 하러 오기...,5.2.목
이탈리아음식,6/23(일) 오후 7시쯤 방문했습니다. 들어갈때 안경안 쓰고 머리 높이 묶으신 직원분이 ”웨이팅 있을수도있 는데“ 라고만 말하고 주방으로 사라지셨고 자...,6.23.일
이탈리아음식,"리모델링 후 처음왔는데 파스타역시 맛있고 스테이
크샐러드 존맛♥︎ 플레이팅도 예쁘고 양도 많아서 둘이
서 2인세트시켜서 먹고 남은 소스로 밥 순삭 ♥︎",6.8.토
이탈리아음식,"음식 양도 많고 맛있어요🤩
웨이팅이 있지만 매장 앞에 사진찍는 기계도 있도 회전율이 좋아서 생각보다? 일찍 들어올 수 있어용",7.5.금
이탈리아음식,파스타랑 스테이크 시켰는데 넘 맛있어여 단체로 같이 와두 좋을것 같아요,7.4.목
이탈리아음식,음식 빨리 나오고 맛있어요:),6.5.수
이탈리아음식,"의외로 혼밥하기 괜찮아요
맛은 항상 맛있습니다",7.4.목
이탈리아음식,친절한 직원분덕에 입장부터 기분 좋네요👍 메뉴의 가격이 합리적이고 맛있는 강남 파스타 맛집!! 시그니 처인 레드 크림파스타는 물론 맛있었고 스테이...,2.6.화
이탈리아음식,"맛있는 점심이었습니다~!
#바비레드#강남역맛집#BOBIRED",6.15.토
이탈리아음식,갈비 + 양식이라는 독특한 곳 인테리오는 이뿌고 좋 아요 스튜에 치즈 추가안하면 좀 아쉬운 치즈 양이어 서 추가해 먹어야해요 메뉴 이미지랑 실제 이...,3.27.수
이탈리아음식,파스타랑 샐러드 먹었눈데 너무 맛있고 분위기 좋아요 양도 많고 좋습니당!!!,6.18.화
이탈리아음식,"친구들이랑 왔어요
분위기 좋고 맛있어요~",6.16.일
이탈리아음식,오랜만에 방문했는데 여전히 맛있네요 ❤️ 좋은 분위기에서 맛있는 음식 먹고 갑니다 ~~,6.1.토
이탈리아음식,N번째 방문했는데 항상 맛있어요 강남 올때마다 생각나는 맛집😋 4인세트 시켰는데 네명이서 딱이에여 쵝오,6.8.토
이탈리아음식,"세트메뉴 먹었어요~
양도 많고 와인한잔까지 맛있었습니다~",6.12.수
이탈리아음식,"분위기도 좋고 맛있어요 
번창하세요",6.12.수
이탈리아음식,몇년째 재방문 중인 바비레드 오늘도 왔습니다! 지점 이 많이 없어서 아쉬워요ㅠㅠ 레드크림파스타 믿고 먹는 메뉴! 곱배기로 시키고 밥도 비벼 먹으면 ...,5.18.토
이탈리아음식,"믿고 먹는 바비레드
정말 맛있습니다 흑흑
파스타 최고!!",6.22.토
이탈리아음식,바비레드 레드크림파스타는 유명하져 ㅎㅎㅎ,5.17.금
이탈리아음식,"친구 생일이어서 예약하고 방문했어요! 직원분들도 
친절히 맞아주시고 생일인 친구도 넘 좋아했어요! 상
들리에는 언제 봐도 이뿌네용~! 또 올게용",4.25.목
이탈리아음식,"메인메뉴인 레드크림파스타 곱빼기로 먹었어요
매콤하니 굉장히 맛있구 양이 생각보다도 많아서 여자둘이 엄청 터지게 먹었답니다!",5.22.수
이탈리아음식,"오랜만에 왔더니 인테리어가 싹 바뀌었네요! 맛은 그
대로예요~ 역시 맛있고 좋습니다. 가격 대비 양이 많
진 않지만, 밥이 리필 되니 배가 크신 분들은 리...",6.17.월
이탈리아음식,왜 가게 이름이 바비레드인지 알게되었네요 ㅎㅎ 레 드크림파스타 + 밥 + 김 비벼먹으면 정말 맛있어요! 매장 넓고 자리많구 안에도 10명 단체석 있어...,2.16.금
이탈리아음식,"레드크림파스타 하나 먹으려고 멀리서 왔습니다ㅠㅠ
ㅠ 타 지역에 있을때도 생각났는데 너무 맛있네요 매
장도 넓고 좋습니다",4.18.목
이탈리아음식,맛있는음식감사합니다😁,6.15.토
이탈리아음식,"세트메뉴 에이드는 생각 없어서 단품으로 비슷하게 
시켰어요! 안내 너무 친절하구, 맵찔이가 덜매운맛 먹
었는데 이것도 신라면이랑 비슷하데요! 맛은 있...",5.9.목
이탈리아음식,바비레드 오랜만에 방문했어요! 스테이크 샐러드 고 기 부드럽고 양도 많고 맛있어요:) 따뜻할 때 드시면 더 맛있으니까 호다닥 드세요! 세트메뉴가 잘 ...,4.5.금
이탈리아음식,크림파스타 너무 맛있어요! 안에 갈비가 들어갔는데 크림이랑 매운맛이라 잘 어우러져서 맛있었습니다. 다먹구 밥이랑 비벼먹어도 너무 든든하고 맛났...,1.26.금
