가게 이름,댓글,날짜,강수량,최고기온(℃),평균기온(℃),최저기온(℃),일조합(hr),일조율(%),일사합(MJ/m2),계절,날씨,ㅁ,눈
이탈리아음식,일단 무엇보다 어제 6/17 오후 방문했을때 홀서빙하 시던 남자직원분이랑 여자직원분이 친절하셔서 기분 좋았습니다:) 근래 들어서 갔던 식당들 중 직원...,2024-06-17,0.0,30.2,24.8,18.9,13.1,88.5,28.17,여름,맑음,,
이탈리아음식,레드갈비 파스타 시켰어요. 4단계 있고 신라면 맵기 시켰습니다. 신라면에 청양고추 조금 넣은 듯한 맵기 같아요. 맛은 깔끔하고 인테리어가 깔끔하고 ...,2024-04-19,0.0,24.3,17.6,11.5,10.4,78.2,23.5,봄,맑음,,
이탈리아음식,"멋지고 맛난곳
너무 좋았어요!!!",2024-07-06,2.8,30.0,25.1,22.1,0.1,0.7,6.84,여름,비,,
이탈리아음식,분위기도 맛도 좋았던 바비레드! 정말 밥이 빨갛더라 구요. 파스타를 주문하면 밥은 무제한! 파스타먹은 후 밥 비벼 먹으니 리조또같은 느낌으로 코스로 즐...,2024-03-29,1.4,12.3,7.6,5.0,2.5,20.0,6.68,봄,비,,
이탈리아음식,고기가 맛있네요 샐러드도 싱싱하고 파스타는 제일 순한맛으로 해도 저희에겐 매웠어요,2024-06-14,0.0,33.0,26.3,21.4,9.1,61.5,24.24,여름,맑음,,
이탈리아음식,"청모하기 좋아요
파스타랑 스튜 맛있어요 ^^",2024-06-27,0.0,31.6,26.3,20.6,9.3,62.8,23.84,여름,맑음,,
이탈리아음식,어렸을 때 정말 자주 가던 추억의 바비레드 오랜만에 왔는데 여전히 맛있네용 !! ㅎㅅㅎ 깔끔한 화이트 인테리어로 바뀌었군용,2024-06-22,16.5,26.1,24.2,22.6,0.0,0.0,3.59,여름,비,,
이탈리아음식,"너무 맛잇어요 일단 로제파스타는 딱 잘 익고 맛잇게 매운 로제 소스랑 바부려 먹어스 진짜 맛잇구요,,,,,, 스튜에 있는 고기가 무친몸입니디 고기 왜케 부...",2024-07-07,28.7,28.2,24.4,21.5,0.6,4.1,11.09,여름,비,,
이탈리아음식,"넘 맛있는 바비레드....
리뉴얼후 매장분위기도 넘이쁘고 사진도 잘나와요
모임하기딱좋아요✌🏻",2024-06-04,0.0,29.3,22.8,16.3,13.5,92.5,31.17,여름,맑음,,
이탈리아음식,강남오면 여기맘 와용! 존맛탱!,2024-06-29,38.3,32.3,26.7,21.6,6.9,46.9,20.46,여름,비,,
이탈리아음식,"파스타와 스테이크 가성비 맛집이에요 !! 이전에도 방 문한 적이 있는데, 리뉴얼된 매장에는 처음 방문했어 요 매장이 더 넓고 쾌적해져서 좋더라구요〰️ ...",2024-04-06,0.0,18.9,12.7,8.0,6.6,51.6,17.49,봄,맑음,,
이탈리아음식,인테리어가 이쁘고 음식이 다양하고 독특해서 한번쯤 와볼만해요 !!,2024-07-05,4.1,26.1,23.4,21.3,1.4,9.5,11.25,여름,비,,
이탈리아음식,느끼하면서 매운거 먹고 싶을때 딱이에요!!! 밥까지 비며먹으니까 넘 맛있어요,2024-05-30,0.0,24.6,20.7,16.2,0.6,4.1,12.97,봄,흐림,,
이탈리아음식,"너무 맛있습니다... 이 맛을 못 끊습니다... 밥을 비벼
먹습니다... 또 한번 반합니다.... 최고의 맛..최고의 파
스타.. 인테리어도 샹들리에 추가 설치로 더 예...",2024-06-25,0.0,27.2,22.9,19.1,10.7,72.3,25.24,여름,맑음,,
이탈리아음식,점심에 팀회식 왔는데 매장도 청결하고 메뉴도 깔끔 하게 나와서 좋아요. 파스타 안에 고기 양도 먹다보니 엄청 많았고 질기지 않고 부드러웠어요. 소스 ...,2024-05-28,0.0,26.1,20.4,14.3,11.1,76.6,27.55,봄,맑음,,
이탈리아음식,직원들이 친절하고 밥이 정말 맛있어요. 스테이크 샐러드 의 스테이크가 고소해요.!,2024-06-23,5.1,30.1,25.1,22.5,3.8,25.7,18.84,여름,비,,
이탈리아음식,"갈비가 들어간 파스타랑 스튜를 먹었는데 메뉴가 독
특하면서도 매콤한 소스랑 어우러지는게 신기했어요 
메뉴가 맛있고 양도 꽤 많아서 다먹고 나니 엄...",2024-05-11,31.7,22.0,17.0,14.0,0.1,0.7,5.72,봄,비,,
이탈리아음식,바비레드 레드 크림 파스타 최곱니다 ㅎㅎ 맵찔이라 기본(신라면 맵기정도) 했는데 적당한 매콤함이에요.ᐟ .ᐟ레드크림파스타 이거 곱배기로 하시면 둘이...,2024-03-14,0.0,15.4,8.5,3.4,,0.0,,봄,흐림,,
이탈리아음식,음식이 정갈하고 너무 맛있어요ㅠㅠ 갈비도 너무 부드럽고 같이 간 사람들 다들 맛있다고 난리였어요!! 계속 생각나는 맛이에요🔥 다음에 또 먹으려구요~!!,2024-06-06,0.0,31.4,24.1,19.3,9.3,63.3,24.47,여름,맑음,,
이탈리아음식,"음식이 바로나오고 정갈하고 직원도 친절해서 좋아요
그리고 매장도 넓어용👍",2024-06-06,0.0,31.4,24.1,19.3,9.3,63.3,24.47,여름,맑음,,
이탈리아음식,"우선 위치적으로는 강남역보단 신논현역 부근이고, 가는 길이 언덕이 좀 있어서 오르기가 힘들었어요. 인 테리어는 괜찮았고, 가게 앞에 전신거울이라든...",2024-05-18,0.0,26.5,20.7,16.0,11.3,79.0,26.88,봄,맑음,,
이탈리아음식,"음식이 너무 맛있어요
특히 파스타 소스에 밥 비벼 먹음 환상입니다 ^^",2024-07-02,65.1,25.2,23.2,21.9,0.0,0.0,1.93,여름,비,,
이탈리아음식,오랜만에 다시 방문한 바비레드인데 늘 먹던 메뉴로 주문했는데 역시 양도 많고 재료도 신선해서 맛있어 요 맵기도 고를 수 있어서 원하는 맵기로 선택...,2024-05-17,0.0,24.9,18.3,10.8,10.8,75.5,24.4,봄,맑음,,
이탈리아음식,항상 맛있게 먹는 바비레드!! 오랜만에 먹으러 왔는데 인테리어도 멋지게 바뀌었고 여전히 음식도 맛있어요 !! 진원분들도 친절해서 먹는동안 불편한 점이 ...,2024-02-21,17.8,4.0,1.9,0.0,0.0,0.0,2.77,겨울,눈,101.0,눈
이탈리아음식,분위기도 좋고 음식도 맛있어요!!,2024-06-30,32.2,24.9,23.5,22.0,0.0,0.0,3.89,여름,비,,
이탈리아음식,강남역 맛집하면 바비레드 죠 ! 고기 두께가 진짜 두껍 고 파스타 맵기가 매콤해서 너무 맛있었어요 오늘 생 일이라서 방문 했는데 공주 느낌도 나고 대접 ...,2024-03-11,0.0,10.8,6.2,2.0,,,,봄,맑음,,
이탈리아음식,맛있어요!! 밥스타 기본맛 꽤 매워용 스테이크 포케보 울 고기 연하고 불맛나고 맛좋네용 ㅎㅎ 지나가다가 들렀는데 분위기 짱좋아여 !!! 데이트 하러 오기...,2024-05-02,0.0,23.7,18.1,12.4,12.8,92.8,28.72,봄,맑음,,
이탈리아음식,6/23(일) 오후 7시쯤 방문했습니다. 들어갈때 안경안 쓰고 머리 높이 묶으신 직원분이 ”웨이팅 있을수도있 는데“ 라고만 말하고 주방으로 사라지셨고 자...,2024-06-23,5.1,30.1,25.1,22.5,3.8,25.7,18.84,여름,비,,
이탈리아음식,"리모델링 후 처음왔는데 파스타역시 맛있고 스테이
크샐러드 존맛♥︎ 플레이팅도 예쁘고 양도 많아서 둘이
서 2인세트시켜서 먹고 남은 소스로 밥 순삭 ♥︎",2024-06-08,16.9,25.0,20.3,17.9,2.5,17.0,9.7,여름,비,,
이탈리아음식,"음식 양도 많고 맛있어요🤩
웨이팅이 있지만 매장 앞에 사진찍는 기계도 있도 회전율이 좋아서 생각보다? 일찍 들어올 수 있어용",2024-07-05,4.1,26.1,23.4,21.3,1.4,9.5,11.25,여름,비,,
이탈리아음식,파스타랑 스테이크 시켰는데 넘 맛있어여 단체로 같이 와두 좋을것 같아요,2024-07-04,3.6,30.6,26.8,23.2,3.4,23.1,18.81,여름,비,,
이탈리아음식,음식 빨리 나오고 맛있어요:),2024-06-05,0.0,30.1,23.6,18.1,10.4,70.7,25.14,여름,맑음,,
이탈리아음식,"의외로 혼밥하기 괜찮아요
맛은 항상 맛있습니다",2024-07-04,3.6,30.6,26.8,23.2,3.4,23.1,18.81,여름,비,,
이탈리아음식,친절한 직원분덕에 입장부터 기분 좋네요👍 메뉴의 가격이 합리적이고 맛있는 강남 파스타 맛집!! 시그니 처인 레드 크림파스타는 물론 맛있었고 스테이...,2024-02-06,0.2,2.9,1.2,0.0,0.0,0.0,4.49,겨울,눈,99.0,눈
이탈리아음식,"맛있는 점심이었습니다~!
#바비레드#강남역맛집#BOBIRED",2024-06-15,6.1,28.2,24.2,21.8,3.4,23.0,15.71,여름,비,,
이탈리아음식,갈비 + 양식이라는 독특한 곳 인테리오는 이뿌고 좋 아요 스튜에 치즈 추가안하면 좀 아쉬운 치즈 양이어 서 추가해 먹어야해요 메뉴 이미지랑 실제 이...,2024-03-27,0.0,16.2,10.4,4.4,8.8,71.0,18.46,봄,맑음,,
이탈리아음식,파스타랑 샐러드 먹었눈데 너무 맛있고 분위기 좋아요 양도 많고 좋습니당!!!,2024-06-18,0.0,32.9,26.0,20.4,13.4,90.5,29.22,여름,맑음,,
이탈리아음식,"친구들이랑 왔어요
분위기 좋고 맛있어요~",2024-06-16,0.0,29.5,24.3,19.9,13.2,89.2,30.02,여름,맑음,,
이탈리아음식,오랜만에 방문했는데 여전히 맛있네요 ❤️ 좋은 분위기에서 맛있는 음식 먹고 갑니다 ~~,2024-06-01,0.0,25.2,20.7,17.5,9.4,64.4,27.02,여름,맑음,,
이탈리아음식,N번째 방문했는데 항상 맛있어요 강남 올때마다 생각나는 맛집😋 4인세트 시켰는데 네명이서 딱이에여 쵝오,2024-06-08,16.9,25.0,20.3,17.9,2.5,17.0,9.7,여름,비,,
이탈리아음식,"세트메뉴 먹었어요~
양도 많고 와인한잔까지 맛있었습니다~",2024-06-12,0.0,31.8,24.8,19.2,11.3,76.9,27.73,여름,맑음,,
이탈리아음식,"분위기도 좋고 맛있어요 
번창하세요",2024-06-12,0.0,31.8,24.8,19.2,11.3,76.9,27.73,여름,맑음,,
이탈리아음식,몇년째 재방문 중인 바비레드 오늘도 왔습니다! 지점 이 많이 없어서 아쉬워요ㅠㅠ 레드크림파스타 믿고 먹는 메뉴! 곱배기로 시키고 밥도 비벼 먹으면 ...,2024-05-18,0.0,26.5,20.7,16.0,11.3,79.0,26.88,봄,맑음,,
이탈리아음식,"믿고 먹는 바비레드
정말 맛있습니다 흑흑
파스타 최고!!",2024-06-22,16.5,26.1,24.2,22.6,0.0,0.0,3.59,여름,비,,
이탈리아음식,바비레드 레드크림파스타는 유명하져 ㅎㅎㅎ,2024-05-17,0.0,24.9,18.3,10.8,10.8,75.5,24.4,봄,맑음,,
이탈리아음식,"친구 생일이어서 예약하고 방문했어요! 직원분들도 
친절히 맞아주시고 생일인 친구도 넘 좋아했어요! 상
들리에는 언제 봐도 이뿌네용~! 또 올게용",2024-04-25,0.0,20.8,14.4,10.3,6.2,45.6,18.59,봄,흐림,,
이탈리아음식,"메인메뉴인 레드크림파스타 곱빼기로 먹었어요
매콤하니 굉장히 맛있구 양이 생각보다도 많아서 여자둘이 엄청 터지게 먹었답니다!",2024-05-22,0.0,25.5,20.5,16.4,10.0,69.4,27.4,봄,맑음,,
이탈리아음식,"오랜만에 왔더니 인테리어가 싹 바뀌었네요! 맛은 그
대로예요~ 역시 맛있고 좋습니다. 가격 대비 양이 많
진 않지만, 밥이 리필 되니 배가 크신 분들은 리...",2024-06-17,0.0,30.2,24.8,18.9,13.1,88.5,28.17,여름,맑음,,
이탈리아음식,왜 가게 이름이 바비레드인지 알게되었네요 ㅎㅎ 레 드크림파스타 + 밥 + 김 비벼먹으면 정말 맛있어요! 매장 넓고 자리많구 안에도 10명 단체석 있어...,2024-02-16,0.0,8.1,2.3,-1.5,7.9,73.1,13.32,겨울,맑음,,
이탈리아음식,"레드크림파스타 하나 먹으려고 멀리서 왔습니다ㅠㅠ
ㅠ 타 지역에 있을때도 생각났는데 너무 맛있네요 매
장도 넓고 좋습니다",2024-04-18,0.0,24.9,17.3,10.7,11.7,88.0,25.45,봄,맑음,,
이탈리아음식,맛있는음식감사합니다😁,2024-06-15,6.1,28.2,24.2,21.8,3.4,23.0,15.71,여름,비,,
이탈리아음식,"세트메뉴 에이드는 생각 없어서 단품으로 비슷하게 
시켰어요! 안내 너무 친절하구, 맵찔이가 덜매운맛 먹
었는데 이것도 신라면이랑 비슷하데요! 맛은 있...",2024-05-09,0.0,21.8,16.1,10.9,12.8,91.4,27.17,봄,맑음,,
이탈리아음식,바비레드 오랜만에 방문했어요! 스테이크 샐러드 고 기 부드럽고 양도 많고 맛있어요:) 따뜻할 때 드시면 더 맛있으니까 호다닥 드세요! 세트메뉴가 잘 ...,2024-04-05,0.0,18.8,14.0,10.2,6.2,48.4,17.11,봄,흐림,,
이탈리아음식,크림파스타 너무 맛있어요! 안에 갈비가 들어갔는데 크림이랑 매운맛이라 잘 어우러져서 맛있었습니다. 다먹구 밥이랑 비벼먹어도 너무 든든하고 맛났...,2024-01-26,0.0,4.0,-1.7,-6.9,9.4,93.1,12.68,겨울,맑음,,
이탈리아음식,오랜만에 방문해도 역시나 실패없는 맛집 :) 레드 크림 파스타 제 최애✨✨ 최근에 리모델링을 했는지 매장 분위기도 너무 마음에 들었습니다🫶🏻✨,2024-06-11,0.0,31.6,25.4,21.7,10.2,69.4,27.17,여름,맑음,,
이탈리아음식,꼬기가 부드럽고 너무너무 마싯어요… 매운 단계를 고를 수 있어서 매운 거 잘 못 먹는데도 매콤하게 딱 좋습니다💕💕,2024-06-27,0.0,31.6,26.3,20.6,9.3,62.8,23.84,여름,맑음,,
이탈리아음식,"배부르게 잘먹었어요!!
고기질이 너무 좋아서 입에 넣자마자 녹아버릴정도였어요! 다음에 또 방문할게여",2024-06-27,0.0,31.6,26.3,20.6,9.3,62.8,23.84,여름,맑음,,
이탈리아음식,직원분들이 다 친절하시고 매장도 넓어용!,2024-06-16,0.0,29.5,24.3,19.9,13.2,89.2,30.02,여름,맑음,,
이탈리아음식,분위기도 좋고 맛도 너무 좋아요!!!,2024-06-08,16.9,25.0,20.3,17.9,2.5,17.0,9.7,여름,비,,
이탈리아음식,넘 맛있어용 담에 또 오려구요😍,2024-06-12,0.0,31.8,24.8,19.2,11.3,76.9,27.73,여름,맑음,,
이탈리아음식,레드크림파스타 + 탄산음료 곱배기 주문해서 먹었는 데 양 엄청 푸짐해요 밥도 같이 나와서 리조뜨로 먹기 도 좋아요! 매장 예쁘고 감각적이라 사진도 잘 ...,2024-02-15,10.9,11.6,4.5,0.6,0.9,8.3,2.71,겨울,눈,100.0,눈
이탈리아음식,오랜만에 기분 내고 싶어서 유명한 바비레드에 왔어여!! 양도 많아서 배불리 잘 먹었습니다🥰,2024-05-19,0.0,27.9,21.5,15.9,12.6,88.1,28.99,봄,맑음,,
이탈리아음식,"밥까지 든든하게 먹을 수 있어 좋았고
갈비까지 맛있게 잘 먹었습니다 👍🏻✨️",2024-05-12,0.0,21.6,16.6,11.9,11.4,80.9,28.91,봄,맑음,,
이탈리아음식,맛있고 친절하고 매장도 넓어서 좋아요ㅠㅠ♥,2024-04-27,0.0,26.2,18.2,11.5,12.5,91.9,28.23,봄,맑음,,
이탈리아음식,"우왕~~ 갤러리같은 느낌의 가게에서 이렇게 맛있는 음식을 먹을수 있다니 너무 즐겁네요!!!!ㅎㅎㅎㅎ
남자친구랑 재방문 할 예정입니다😀",2024-05-02,0.0,23.7,18.1,12.4,12.8,92.8,28.72,봄,맑음,,
이탈리아음식,음식도 너무맛있고 매장도 넓어서 편하게 데이트하기 좋아요!!! 스튜가 독특하고 맛있어요☺️,2024-06-16,0.0,29.5,24.3,19.9,13.2,89.2,30.02,여름,맑음,,
이탈리아음식,넘 맛있는 바비레드!! 일요일 저녁엔 역시 사람이 꽤 있네요 파스타 기본 매운맛 약간 맵긴 하지만 맛있게 먹을 수 있는 맛이었어요!! 치킨 스테이크도 닭...,2024-03-10,0.0,10.6,4.2,-1.8,10.9,93.2,20.38,봄,맑음,,
이탈리아음식,"""레드"" 컨셉에 맞게 맵기 선택이 가능한점이 좋습니다
ㅎㅎ (기본맛은 신라면정도!) 직원분들도 친절하시고
, 무엇보다 느끼하지 않고 깔끔합니다 !",2024-04-28,0.0,28.9,20.7,13.0,11.4,83.2,25.14,봄,맑음,,
이탈리아음식,바비레드 자주 오는데 연어샐러드는 처음 먹어봐요!! 근데 사진하곤 조금 다르지만 맛있었어요!! 파스타도 매콤하니 토마토맛 진하네요~,2024-05-30,0.0,24.6,20.7,16.2,0.6,4.1,12.97,봄,흐림,,
이탈리아음식,음식너무이쁘고 노래도 재즈음악나와서 분위기가 너무 좋아요 다음에는 남자친구랑 오고싶네요~~^^*,2024-05-04,0.0,28.5,21.4,14.6,12.5,89.9,26.61,봄,맑음,,
이탈리아음식,"레드크린파스타가 맛있어서 여러번 방문했어요 인테
리어가 밝게 바뀌어서 좋아요 추천합니당",2024-06-11,0.0,31.6,25.4,21.7,10.2,69.4,27.17,여름,맑음,,
이탈리아음식,직원분들도 엄청 친절하시고 분위기도 좋고 파스타랑 샐러드도 정말 맛있어요!!,2024-06-17,0.0,30.2,24.8,18.9,13.1,88.5,28.17,여름,맑음,,
이탈리아음식,"매장이 널찍해서 좋아요
모임하기 굳",2024-05-13,0.0,24.5,18.3,11.9,13.1,92.9,30.09,봄,맑음,,
이탈리아음식,"지인 추천으로 같이 한번 가보게 되었습니다. 최근에 리모델링 공사까지 완료했다고 하여, 방문해보았는데 , 분위기도 너무너무 좋고, 나중에 연말에 데이...",2024-02-21,17.8,4.0,1.9,0.0,0.0,0.0,2.77,겨울,눈,101.0,눈
이탈리아음식,바비레드 오랜만에 왔는데 여전히 맛있네용 ㅎㅎ,2024-04-21,0.0,21.7,17.2,13.3,1.0,7.5,11.86,봄,흐림,,
이탈리아음식,맛있어요 밥이 리필도됩니당^^ 고기가많구요,2024-05-20,0.0,22.8,19.4,16.8,0.5,3.5,11.45,봄,흐림,,
이탈리아음식,"저희가 인원이 많아서 프라이빗 룸 예약하고 갔는데, 너무 아늑하고 좋았어요!! 저희가 다 먹짱이라 다 곱빼 기 시켰는데, 양은 이것저것 해서 시키셔야 충...",2023-12-29,0.0,4.6,1.3,-1.5,1.8,18.8,5.43,겨울,흐림,,
이탈리아음식,파스타를 시켰는데 리조또까지 해결할 수 있어요. 가게 샹들리에까지! 멋과 맛을 한큐에 해결!,2024-05-07,2.4,15.0,13.3,12.2,0.0,0.0,4.75,봄,비,,
이탈리아음식,"바비레드 인테리어 바뀌었네요!! 더 밝고 화사하고, 
음악까지 무드있어요😊 맛은 말해뭐해 밥과 파스타
를 쉑쉑 먹기 좋은 바비레드 추천요😃",2024-03-07,2.1,8.2,3.9,1.2,2.5,21.6,8.77,봄,비,,
이탈리아음식,"연인이나 친구랑 오기 좋음 
변함 없는 맛 최고👍",2024-05-16,0.1,19.8,13.7,6.9,13.1,92.3,31.35,봄,비,,
이탈리아음식,"너무 맛있어요
기분좋게 맵고 느끼하지 않고 잘 넘어가용",2024-05-16,0.1,19.8,13.7,6.9,13.1,92.3,31.35,봄,비,,
이탈리아음식,"음식이랑 종류도 다양하고 맛있어요!!
부모님과 같이 왔는데 맵기 조절도 할 수 있어서 좋았어요~",2024-06-01,0.0,25.2,20.7,17.5,9.4,64.4,27.02,여름,맑음,,
이탈리아음식,바비레드 다른지점은 가봤는데 강남점은 처음이에요. 맛이야 역시 맛있고 양도 많아요 !!! 메뉴는 크림파스 타랑 스튜에 치즈추가해서 먹었습니당 ㅎㅎ 다...,2024-03-13,0.0,12.0,6.5,1.3,10.9,91.6,20.78,봄,맑음,,
이탈리아음식,"음식이 너무 맛있어요

내부도 깔끔해서 좋네요",2024-05-12,0.0,21.6,16.6,11.9,11.4,80.9,28.91,봄,맑음,,
이탈리아음식,"정말 맛있었고 다시 갈 것 같아요 
대신 2단계는 좀 매웠던.... ㅋㅋ",2024-05-23,0.0,26.4,20.2,15.8,12.7,88.2,30.1,봄,맑음,,
이탈리아음식,역시 매콤한 파스타로는 바비레드가 제일 맛있는 것 같아요 !! 샐러드까지 완벽 조합이었어요,2024-05-30,0.0,24.6,20.7,16.2,0.6,4.1,12.97,봄,흐림,,
이탈리아음식,"아는 오빠 생일 기념으로 오빠의 파스타 맛집에 왔는 데, 퀄리티 대박이다🥹 매운맛도 선택가능하고 직원 분들도 너무 친절하니 기분 업 , 혀도 맛있음에 ...",2024-01-09,1.6,0.4,-0.6,-1.9,0.0,0.0,1.48,겨울,눈,92.0,눈
이탈리아음식,"예약없고 대기없이 들어갈 수 있어서 좋았어요!! 주문
하기전 직원분이 맵기랑 리뷰이벤트 하나하나 설명해
주시는데 친절하고 음식주문하고서 빨리 나와...",2024-04-27,0.0,26.2,18.2,11.5,12.5,91.9,28.23,봄,맑음,,
이탈리아음식,너무 맛있어용 ㅎㅎㅎ!!!! 또오려구요~~!,2024-06-21,0.0,33.9,28.1,22.9,10.3,69.6,24.75,여름,맑음,,
이탈리아음식,친구들이랑 오기좋고 맛있어요!!!!,2024-04-28,0.0,28.9,20.7,13.0,11.4,83.2,25.14,봄,맑음,,
베트남음식,"예전에 한우말고 그냥곱창쌀국수 먹었을 땐 많이 질 겨서 별로였는데! 오늘은 한우곱창으로 먹어봤어요 속에 곱이 꽉 차있고, 누린내 없는 편은 아니지...",2024-07-01,0.0,31.3,26.3,22.0,8.3,56.5,24.69,여름,맑음,,
베트남음식,쇼룸에상담 왔다가 점심^^ 양이 여성분들은 많은양 인듯^ 직원분들 친절하게응대해주고 음식도 빨리나 와서 좋았어요 그리고 좋았던점은 웨이팅을 일...,2024-06-23,5.1,30.1,25.1,22.5,3.8,25.7,18.84,여름,비,,
베트남음식,엄청난 웨이팅을 자랑하는 강남역 맛집 땀땀. 평일 저 녁 6시쯤 갔더니 무난하게 착석 가능했어요. (나올 때 는 또 웨이팅 ㅋㅋ) 매운소곱창쌀국수 비싸긴 ...,2024-05-27,0.0,22.6,18.5,14.1,9.9,68.3,26.89,봄,맑음,,
베트남음식,땀땀 쌀국수 먹고싶어서 평일 저녁에 갔더니 사람이 많더라구요 .!.! 매운 한우 소곱창 쌀국수랑 직화 소고 기 쌀국수 그리고 분짜와 쉬림프코코넛롤까지 ...,2024-06-12,0.0,31.8,24.8,19.2,11.3,76.9,27.73,여름,맑음,,
베트남음식,땀땀하면 매운곱창쌀국수가 인기지요 숯불쌀국수도 불맛 가득 좋고요~ 지점마다 차이가 좀 있지만 강남 땀땀이 주변에선 맛있다고 소문났던데 역시 소...,2024-05-21,0.0,28.3,21.7,16.3,9.4,65.3,26.37,봄,맑음,,
베트남음식,"땀땀 처음가봤는데 맛있네요!!! 여러명이서 갔으면 곱 창쌀국수도 시키고 분짜도 시키고ㅎㅎ그랬을텐데 혼 자가서 기본메뉴만 먹어봤어요. 사장님, 일하...",2024-05-28,0.0,26.1,20.4,14.3,11.1,76.6,27.55,봄,맑음,,
베트남음식,"짜조, 매운한우소곱창쌀국수, 숯불구이돼지고기덮밥 먹었습니다! 모든 메뉴가 성공적이어서 뿌듯했던 방 문이었어요! 그리고 양도 너무 많아서 엄청 배...",2024-05-28,0.0,26.1,20.4,14.3,11.1,76.6,27.55,봄,맑음,,
베트남음식,"서울 강남 맛집 중 한 곳이라 해서 서울여행간 김에 들 렀는데, 쌀국수가 양도 진짜 많고 정말 맛있어서 왜 맛 집인지를 이해할 수 있었습니다. 그만큼 정말 ...",2024-06-01,0.0,25.2,20.7,17.5,9.4,64.4,27.02,여름,맑음,,
베트남음식,또또또또또 간집 강남역 쌀국수 최애 땀땀! 몇번을 간 지 모르겠네요 ㅋ 진짜 자주가는데 음식도 짱 빨리나 오고 고기 양이 미쳤습니다. 국물도 완전 마싯...,2024-05-21,0.0,28.3,21.7,16.3,9.4,65.3,26.37,봄,맑음,,
베트남음식,12時ごろにお店について、それぞれ異なるメニュー を注文。10分も待たずすぐに料理が提供されて良か ったです！ ボリュームも満点で、味もさらっ...,2024-06-22,16.5,26.1,24.2,22.6,0.0,0.0,3.59,여름,비,,
베트남음식,"줄서는 맛집에 반영된 강남 매운 쌀국수 맛집!
매운 한우 대창 쌀국수 대만족이에요
볶음밥도 맛있고 직원분들도 친절해요 👍",2024-06-18,0.0,32.9,26.0,20.4,13.4,90.5,29.22,여름,맑음,,
